ORF1,ORF2
YDR032C,YGR130C
YOR151C,YPR187W
YBR041W,YIL124W
YCR077C,YER112W
YLR350W,YML012W
YML016C,YMR212C
YKL051W,YML016C
YGR106C,YPR036W
YBR234C,YER090W
YER099C,YKL181W
YER112W,YNL016W
YEL015W,YNL118C
YGR105W,YPR036W
YDR501W,YPL145C
YGL108C,YKL051W
YBR234C,YOR327C
YGR096W,YOL090W
YPL246C,YPL246C
YBR234C,YGR037C
YML016C,YML106W
YGR060W,YML055W
YDL222C,YML072C
YGL006W,YHR175W
YDR068W,YKL004W
YGR133W,YOL147C
YFL005W,YHR094C
YIL062C,YMR109W
YAR042W,YDR100W
YHR003C,YML086C
YKL051W,YPL058C
YKL013C,YNL243W
YGR284C,YHR110W
YBR234C,YNL138W
YDL019C,YMR109W
YGR060W,YHR007C
YER145C,YLR413W
YBR068C,YPL265W
YDR011W,YHL016C
YGL077C,YGR130C
YDL055C,YGR288W
YGR055W,YHL016C
YDR421W,YKR080W
YGR159C,YHR089C
YBR105C,YGR054W
YBR041W,YBR041W
YBR234C,YDR388W
YJL117W,YMR134W
YKL181W,YOL061W
YNL112W,YNL186W
YBL102W,YCR043C
YKL145W,YOR259C
YKL172W,YPL043W
YBR106W,YDR297W
YLL016W,YOL090W
YOR204W,YPL119C
YBR023C,YNL238W
YGR281W,YHR001W
YLL028W,YLR413W
YDL192W,YLR083C
YBR052C,YHR094C
YBR106W,YGL055W
YCR095C,YHL029C
YIL034C,YIL034C
YGR103W,YLR196W
YNL002C,YNL186W
YGR083C,YKR026C
YDR397C,YER159C
YGL006W,YOR270C
YCR069W,YMR149W
YBL017C,YDR100W
YNL016W,YPL119C
YDR032C,YLR332W
YBL102W,YMR292W
YPL087W,YPL227C
YBR234C,YNL243W
YKR058W,YLR258W
YGR008C,YIL143C
YDR265W,YOL147C
YIL033C,YIL033C
YBR207W,YDL199C
YER145C,YGR055W
YGR120C,YJR108W
YDL192W,YNR028W
YBR023C,YFR051C
YDL207W,YDL207W
YDR412W,YNL229C
YCR077C,YER068W
YGL056C,YHL016C
YLR378C,YPL094C
YJL005W,YJL005W
YGR229C,YNL238W
YNL238W,YPL221W
YHL016C,YML072C
YCR021C,YHR096C
YDR100W,YDR501W
YGR028W,YGR028W
YBR207W,YER166W
YGR229C,YHR108W
YBR241C,YPL087W
YER166W,YOR104W
YDR264C,YKR088C
YHR052W,YNL112W
YDL123W,YOR069W
YKL051W,YLR413W
YDR011W,YLL028W
YGL172W,YLR347C
YDR507C,YKR048C
YDL222C,YIL105C
YLR420W,YNL088W
YGR055W,YLL028W
YBR009C,YNL031C
YMR149W,YPL186C
YDR100W,YLL048C
YBR009C,YNL030W
YDL160C,YGR178C
YLR370C,YNL138W
YER021W,YKL126W
YGR284C,YOR165W
YNL138W,YOR087W
YGR223C,YIL034C
YBL017C,YBR207W
YHR007C,YKR072C
YMR261C,YMR261C
YGL077C,YLR332W
YDL192W,YDR100W
YBL026W,YNL016W
YCR021C,YHR094C
YDL204W,YDL204W
YDR202C,YKL080W
YGL137W,YGR229C
YGL137W,YPL004C
YKL002W,YLR025W
YDR497C,YDR501W
YJL151C,YPR139C
YGL092W,YJR042W
YOR316C,YOR316C
YOR027W,YOR057W
YHR089C,YNL255C
YDL147W,YOR261C
YHR072WA,YJL148W
YDR398W,YHR196W
YAR002CA,YPL186C
YGR250C,YIR001C
YLR083C,YMR010W
YER112W,YPR129W
YHR052W,YNL110C
YLR332W,YNL283C
YER145C,YML072C
YFL040W,YPR121W
YGL087C,YNR065C
YDR379W,YDR379W
YLR350W,YOR016C
YCR028CA,YNL339C
YER021W,YGL178W
YCR021C,YML016C
YDR011W,YKL051W
YDL052C,YJL151C
YML098W,YPL129W
YCR030C,YOR181W
YGR284C,YIR038C
YGR055W,YKL051W
YDR297W,YLR350W
YKL150W,YML086C
YLR181C,YPR173C
YBR207W,YLL048C
YKL172W,YNL255C
YBR234C,YNL020C
YMR010W,YNR028W
YDR100W,YML018C
YHR089C,YOR004W
YBR241C,YDR264C
YIR038C,YJL151C
YDR100W,YHR094C
YBR265W,YJL151C
YLL028W,YML072C
YGR281W,YPR138C
YDL160C,YGL178W
YNL197C,YNR052C
YIR038C,YML086C
YLR370C,YNL243W
YEL015W,YER112W
YGR281W,YOR273C
YHR039C,YOR054C
YKL173W,YOR004W
YKR092C,YNL112W
YMR272C,YOR081C
YGR130C,YPL004C
YIR037W,YML086C
YMR120C,YOR327C
YHR007C,YMR015C
YIL043C,YML012W
YHR007C,YMR123W
YGR037C,YMR120C
YCL026CA,YNL016W
YDR398W,YHR084W
YCR021C,YPL058C
YER020W,YGR281W
YDR486C,YDR486C
YEL051W,YOR327C
YML058WA,YPR189W
YDL160C,YMR080C
YEL051W,YGR037C
YNR035C,YOR181W
YHR104W,YHR104W
YHL016C,YIL105C
YDL222C,YPR156C
YDL123W,YPR036W
YMR120C,YNL247W
YGR277C,YPL145C
YGL077C,YOR153W
YDR100W,YMR010W
YHR007C,YHR094C
YAL053W,YMR307W
YGR105W,YHR007C
YML012W,YMR272C
YDL047W,YLR384C
YDL212W,YML016C
YIL027C,YPL070W
YBR207W,YML018C
YER042W,YLR466W
YGL056C,YKL051W
YBR207W,YHR094C
YBR247C,YGR081C
YJL178C,YJL178C
YKL051W,YML072C
YDR238C,YGR037C
YHR059W,YLR275W
YDR093W,YLR332W
YDR434W,YKL008C
YDR289C,YOL077C
YOL147C,YPR128C
YDR156W,YDR156W
YDR047W,YDR047W
YHR007C,YML016C
YER136W,YOR089C
YHR016C,YOR181W
YDR100W,YDR238C
YJL068C,YJL068C
YGL006W,YOR316C
YLR337C,YLR337C
YDR497C,YMR010W
YBR154C,YLR200W
YCR028CA,YPR072W
YER136W,YLR262C
YGR119C,YLR335W
YGL077C,YIR026C
YBR216C,YML007W
YNL248C,YPR052C
YDR129C,YNL138W
YAL041W,YBR200W
YKL080W,YLR447C
YDR264C,YDR264C
YDR293C,YMR105C
YBR106W,YPR156C
YGR020C,YKL080W
YMR072W,YMR167W
YAL053W,YLR330W
YBR207W,YEL051W
YMR010W,YOR104W
YDR497C,YPL058C
YBR052C,YGR055W
YCR043C,YMR272C
YDR541C,YKL008C
YIL143C,YJL153C
YDL212W,YML012W
YBR041W,YJL151C
YBR009C,YLL022C
YGR229C,YLR332W
YLR332W,YPL004C
YGR280C,YMR269W
YDL123W,YPL145C
YIR026C,YOL147C
YJL207C,YLR330W
YGR060W,YJR118C
YJR060W,YJR060W
YHR007C,YML012W
YBR243C,YMR300C
YBR070C,YGR036C
YIL038C,YNR052C
YGL077C,YMR149W
YBR106W,YBR283C
YBR169C,YPL204W
YIL121W,YLR332W
YCR028CA,YLR326W
YCR021C,YKR003W
YCR043C,YDR100W
YGR128C,YMR093W
YIL143C,YML086C
YGR229C,YLR330W
YGR060W,YPL246C
YHR007C,YML120C
YLR332W,YLR332W
YDR092W,YGL087C
YGR238C,YHR158C
YFL062W,YML012W
YOL044W,YOL147C
YBR080C,YGL137W
YDR385W,YNL313C
YPL083C,YPR065W
YNL182C,YPL227C
YBR243C,YOR151C
YCR030C,YDL225W
YJL060W,YPL004C
YDR060W,YKL172W
YDR086C,YLR079W
YPL246C,YPR105C
YBR052C,YGL056C
YGL006W,YJL178C
YIL105C,YKL051W
YBR296CA,YKL037W
YAL016W,YOR081C
YBR052C,YML072C
YIL062C,YNL138W
YIL124W,YKL140W
YBR207W,YKR007W
YCR021C,YDR011W
YML016C,YNL130C
YDR034WB,YLL028W
YDR166C,YIL068C
YGL006W,YGR020C
YJL061W,YJL061W
YMR109W,YOR181W
YFR010W,YLR246W
YLR330W,YLR330W
YDR501W,YPR138C
YGR028W,YML086C
YBR068C,YJL192C
YDR501W,YOR273C
YNL287W,YPL010W
YGL077C,YKL094W
YOL105C,YPL058C
YER145C,YPR156C
YMR312W,YPL101W
YKL004W,YNR028W
YCL037C,YNL255C
YJL151C,YMR152W
YHR001W,YPL058C
YDL097C,YOR261C
YCR094W,YGL203C
YBR210W,YGL207W
YIR012W,YPR016C
YDL208W,YGR280C
YGR060W,YJL117W
YDL007W,YOR117W
YEL017W,YEL017W
YCR028CA,YNL288W
YNL186W,YNL186W
YMR149W,YPL227C
YCR043C,YFL062W
YBR002C,YHR072W
YHR110W,YML012W
YGL137W,YJL153C
YIL027C,YPR113W
YLL028W,YPR156C
YDL035C,YNL229C
YHR072W,YLR144C
YLR196W,YMR229C
YNL118C,YNL288W
YDR284C,YGL203C
YHR007C,YKR003W
YGL019W,YOR039W
YIL121W,YOR153W
YCR028CA,YOR147W
YJR010CA,YML067C
YHR096C,YPR138C
YHR007C,YKL008C
YML012W,YNL130C
YKL088W,YMR149W
YFR051C,YGR284C
YBL039WA,YBR177C
YGL203C,YHL016C
YIL062C,YNL243W
YAR002CA,YEL002C
YKL140W,YKL140W
YDL007W,YGL048C
YMR120C,YOR276W
YAL026C,YGL203C
YFR001W,YHR089C
YAR002CA,YPL227C
YAR002CA,YPR113W
YOR153W,YOR153W
YFR051C,YJL151C
YCR028CA,YER112W
YBL039WA,YHR083W
YBR234C,YIL143C
YCR021C,YML072C
YBR234C,YIL034C
YBR130C,YIL138C
YBR256C,YBR256C
YDR503C,YPL246C
YGL137W,YJL151C
YCR093W,YJR022W
YMR300C,YMR300C
YDL160C,YLR438CA
YGR080W,YGR080W
YIL135C,YKL088W
YBR283C,YLR350W
YDL222C,YKR100C
YDR497C,YGR055W
YER112W,YNL118C
YNL288W,YPR072W
YFR001W,YKL172W
YDR100W,YOL129W
YGL048C,YOR117W
YLL031C,YLR350W
YKR097W,YKR097W
YMR256C,YPL117C
YDR100W,YDR189W
YIL124W,YMR149W
YHR089C,YLR196W
YDL029W,YLR337C
YGL120C,YNL112W
YKL051W,YPR156C
YCR028CA,YGL077C
YDR032C,YGR121C
YOR042W,YOR042W
YLR397C,YLR397C
YHR052W,YHR052W
YLL028W,YPL265W
YHR098C,YPL246C
YPR124W,YPR124W
YBR052C,YIL105C
YHR094C,YIR038C
YJL178C,YOR357C
YGL178W,YNL016W
YGR200C,YHR187W
YER145C,YGL203C
YHR104W,YML086C
YML016C,YPR138C
YIL034C,YIR003W
YBR207W,YGR163W
YML016C,YOR273C
YHR072WA,YHR089C
YBR207W,YDL123W
YDL192W,YPL246C
YDL055C,YDR238C
YDR264C,YJR040W
YLL001W,YLL001W
YCR059C,YGL195W
YER136W,YGL210W
YGL014W,YNL288W
YAR002CA,YIL124W
YDR092W,YMR256C
YMR221C,YPR036W
YKL172W,YLR196W
YDL074C,YLR196W
YDL212W,YDR297W
YBR154C,YMR015C
YBL056W,YDR071C
YIL138C,YIL138C
YIL033C,YMR239C
YBR177C,YHR072W
YGL137W,YNL274C
YGL213C,YHR069C
YBR296CA,YJR108W
YDR170C,YGL203C
YGR106C,YOR270C
YGR065C,YGR130C
YHR001W,YKR003W
YDR517W,YNL229C
YML016C,YOR054C
YER020W,YGL108C
YGR105W,YOR270C
YGR020C,YJL151C
YDR394W,YOR117W
YAL008W,YML086C
YIR037W,YMR120C
YBR106W,YJR010CA
YML012W,YOR165W
YDR297W,YHR007C
YPL058C,YPR138C
YCR093W,YDL224C
YIL115C,YMR047C
YOR273C,YPL058C
YDR497C,YML072C
YFR024CA,YFR024CA
YDR032C,YLR326W
YBL102W,YGL203C
YGR054W,YKR048C
YNR051C,YOR204W
YGR106C,YNL190W
YGL077C,YGR121C
YGL055W,YHR007C
YER112W,YGL014W
YER020W,YPL058C
YFR001W,YOL077C
YIL027C,YIL027C
YBR154C,YML126C
YML018C,YPL246C
YGR055W,YOL105C
YDR394W,YGL048C
YGR055W,YHR001W
YJL061W,YJR042W
YCR030C,YMR109W
YIR037W,YPL058C
YEL051W,YOR270C
YJR117W,YML016C
YML086C,YNL121C
YDR100W,YER157W
YGL077C,YLR219W
YBR241C,YFL048C
YAR002CA,YAR002CA
YCR005C,YCR005C
YDR305C,YDR305C
YJL041W,YLR335W
YDR331W,YHR188C
YIR038C,YML012W
YHL003C,YKL008C
YBL056W,YGR205W
YML012W,YOR054C
YLR196W,YOL077C
YDR501W,YGR138C
YBR177C,YPL145C
YKL013C,YLR337C
YGL207W,YLR196W
YCL037C,YKL054C
YIL070C,YLR332W
YDL222C,YHL016C
YEL013W,YGL006W
YMR010W,YPL246C
YGL077C,YLR326W
YBL017C,YHR108W
YIL033C,YMR016C
YJL178C,YOR132W
YLR172C,YLR172C
YPR189W,YPR189W
YBL068W,YER099C
YDR152W,YGR173W
YDR092W,YMR140W
YJR034W,YOR162C
YMR292W,YOR165W
YBL033C,YBL033C
YGR065C,YLR332W
YGR078C,YML094W
YBR255CA,YGR014W
YJL060W,YJL153C
YKL120W,YNL121C
YML072C,YOL105C
YER166W,YGR241C
YBR234C,YIL095W
YGR138C,YHR096C
YBR154C,YPR052C
YHR001W,YML072C
YER068W,YPR072W
YDR264C,YOL137W
YJL020C,YMR109W
YDR238C,YPL246C
YER021W,YMR293C
YLR413W,YPR138C
YER112W,YNL288W
YGR281W,YLR332W
YDL203C,YLR371W
YML012W,YPL246C
YFR024CA,YNL106C
YML031W,YPR113W
YBR043C,YPL058C
YGL011C,YOR362C
YDL222C,YER145C
YCL021WA,YGL133W
YLR450W,YML075C
YBL029CA,YDR032C
YER020W,YLR413W
YJL148W,YMR269W
YGR054W,YOR276W
YBR234C,YLR337C
YJL041W,YJL061W
YDR300C,YDR300C
YKR003W,YOR273C
YJR010CA,YLR350W
YGL011C,YML092C
YDR501W,YFR051C
YGR138C,YHR094C
YDR501W,YGL137W
YHR007C,YLR144C
YGL172W,YLR335W
YMR149W,YNL322C
YCR030C,YKL051W
YMR250W,YMR250W
YER020W,YKR003W
YFL047W,YFL047W
YEL071W,YPL004C
YDL222C,YLL028W
YBL007C,YNL243W
YDR141C,YGL077C
YDR152W,YPR106W
YGL137W,YLR370C
YDR032C,YGL077C
YLR257W,YLR345W
YBR237W,YHR059W
YKR014C,YOR370C
YMR105C,YNR035C
YLR291C,YOR081C
YIR001C,YNL016W
YGL206C,YIL044C
YDL192W,YFR051C
YGR082W,YML086C
YGR055W,YPR138C
YKL068W,YLR347C
YBL017C,YJL178C
YKR035WA,YKR035WA
YCR043C,YPL246C
YER021W,YOR127W
YGR055W,YOR273C
YBR112C,YCR084C
YJL151C,YKL140W
YNL007C,YPL004C
YDR171W,YGL153W
YDL019C,YPL139C
YNL118C,YNL118C
YDR032C,YNL283C
YGL195W,YGR173W
YHR084W,YNL248C
YIL027C,YJR152W
YBR106W,YJL192C
YNL113W,YPR110C
YML018C,YOR316C
YER020W,YGR055W
YHR133C,YLR450W
YML035C,YML035C
YDR331W,YLR088W
YDR129C,YIL034C
YHR094C,YOR316C
YBR283C,YMR272C
YML086C,YMR300C
YDL055C,YNL045W
YMR292W,YPL246C
YGR138C,YPL058C
YCR009C,YMR192W
YDL222C,YKL051W
YDL160C,YGR054W
YBR106W,YLR350W
YBL042C,YPL058C
YEL013W,YJL151C
YHR012W,YOR069W
YDR507C,YLR332W
YBR068C,YDL212W
YNL030W,YNL031C
YKR097W,YML086C
YDL208W,YJL148W
YNL007C,YNL007C
YDL065C,YGL153W
YDR320C,YGL206C
YGL084C,YHR039C
YFL036W,YHR207C
YGL006W,YPR079W
YGL203C,YLR083C
YGL206C,YOR109W
YER145C,YHL016C
YDL079C,YJR070C
YGR183C,YOL147C
YGL206C,YOR327C
YLR027C,YLR028C
YDR331W,YDR434W
YBR177C,YHR007C
YAL021C,YCR093W
YDL192W,YJL178C
YGR005C,YMR140W
YML017W,YOR204W
YBL029CA,YBR244W
YGR103W,YOR206W
YER068W,YNL288W
YER063W,YNL112W
YGL077C,YNL283C
YLR337C,YLR370C
YML072C,YPR138C
YML092C,YOR362C
YLR326W,YPL004C
YML031W,YML031W
YML072C,YOR273C
YLR328W,YLR328W
YLL001W,YML086C
YGL195W,YPR106W
YBR207W,YMR221C
YCR093W,YKL054C
YGL055W,YOR273C
YLR219W,YLR219W
YAL026C,YDR170C
YDL097C,YDL147W
YHL016C,YLL028W
YGL137W,YMR120C
YCL056C,YMR256C
YAR002CA,YGL001C
YFL048C,YGL006W
YGL014W,YGL014W
YER020W,YML072C
YFR051C,YMR010W
YIR012W,YNL067WB
YNR053C,YPR016C
YGL137W,YMR010W
YBR244W,YGL077C
YNL112W,YNL112W
YDL192W,YDR264C
YGR284C,YIL027C
YAL053W,YDR032C
YDR068W,YLR020C
YKL004W,YPL246C
YIL034C,YIL062C
YBR283C,YHR007C
YER166W,YLR330W
YHR039C,YMR149W
YNL243W,YOR181W
YDL212W,YPL265W
YJL178C,YML018C
YGL122C,YGL122C
YIL027C,YJL151C
YGR106C,YLR447C
YMR096W,YMR096W
YGR105W,YLR447C
YGR020C,YGR106C
YAR002CA,YGR284C
YER126C,YPL211W
YDR100W,YGL203C
YGR020C,YGR105W
YBR177C,YHR003C
YFR051C,YPL057C
YKL078W,YNL186W
YDR189W,YPL246C
YIL115C,YJL061W
YGR138C,YLR413W
YJL192C,YLR350W
YGL055W,YJR118C
YHL016C,YKL051W
YKR007W,YOR316C
YAR002CA,YHR039C
YLR324W,YLR324W
YDR419W,YGL064C
YGL120C,YGL120C
YBL026W,YER112W
YGL206C,YNL243W
YJL164C,YJL164C
YDR032C,YPL221W
YBR052C,YDL222C
YAR042W,YEL013W
YLR432W,YLR432W
YJL110C,YOL081W
YML012W,YPL087W
YEL051W,YLR447C
YJL151C,YKL094W
YDR284C,YPR036W
YDR497C,YGL203C
YAL053W,YGL077C
YDR028C,YDR477W
YDL085W,YNL187W
YEL051W,YGR020C
YDL248W,YDR479C
YDR324C,YDR398W
YDR086C,YLR288C
YBR177C,YER136W
YNL288W,YNL288W
YBR234C,YCR009C
YHR042W,YPR113W
YLR242C,YOR393W
YBR207W,YGL203C
YGL203C,YOR104W
YCR093W,YNL091W
YGR280C,YKR092C
YDR032C,YDR032C
YAL053W,YNL283C
YDR264C,YMR010W
YBR002C,YDL052C
YDR011W,YGR138C
YER145C,YKL051W
YLR378C,YMR149W
YGR055W,YGR138C
YGR060W,YIL027C
YHR158C,YHR158C
YDR084C,YDR419W
YBL042C,YGR055W
YER020W,YIL105C
YDL052C,YLR144C
YML072C,YMR266W
YDL222C,YJL016W
YBL029CA,YIL121W
YHR094C,YLR332W
YAL009W,YJR034W
YGL077C,YGR229C
YGL077C,YPL221W
YLL022C,YNL031C
YGL077C,YPL004C
YBR130C,YKL130C
YBL007C,YNL084C
YLL043W,YLR332W
YFL048C,YGR284C
YER112W,YER112W
YAR002CA,YGR060W
YDL222C,YPL032C
YKL051W,YLL028W
YKL088W,YPR113W
YER157W,YPL246C
YBR125C,YLR066W
YGL023C,YML121W
YCR021C,YDL222C
YLR181C,YNL265C
YOR089C,YOR370C
YGL077C,YIL121W
YLR332W,YML016C
YGR157W,YHR007C
YLR172C,YOR133W
YLR262C,YOR370C
YGR020C,YKR007W
YFR004W,YNL098C
YBR009C,YJL115W
YGL108C,YLR332W
YGL077C,YGL077C
YDR151C,YPL059W
YGR163W,YOR316C
YER166W,YFR024CA
YBR296CA,YHR156C
YOL147C,YPL112C
YIL124W,YPR113W
YNL138W,YNR035C
YHR096C,YOR153W
YGL023C,YKR007W
YGR138C,YML072C
YCL037C,YKR048C
YJL039C,YLR335W
YLR332W,YPL058C
YNL283C,YNL283C
YMR026C,YOL147C
YLR332W,YMR299C
YJR010CA,YML055W
YDL113C,YDR100W
YBR154C,YHR089C
YLR033W,YPL139C
YAL053W,YBR023C
YCR030C,YJR076C
YDL225W,YJR076C
YHR188C,YLR088W
YBR296CA,YHR154W
YLR330W,YMR010W
YGL120C,YPL283C
YOL147C,YOL147C
YER136W,YML001W
YCR043C,YDR264C
YOL129W,YOR316C
YFR051C,YKL004W
YHR089C,YMR269W
YKR072C,YMR149W
YGL137W,YKL004W
YNL064C,YNL064C
YKL139W,YLR424W
YMR080C,YNL118C
YJL153C,YML058WA
YBR106W,YMR272C
YHR094C,YOR153W
YBR049C,YLL034C
YHR007C,YJR010CA
YIL062C,YLR337C
YGR054W,YOR204W
YOL147C,YOR094W
YCR028CA,YNR052C
YBR101C,YDR325W
YER020W,YPR156C
YML086C,YNL007C
YBR052C,YER145C
YGR012W,YML086C
YDL222C,YDR497C
YPL119C,YPL119C
YML086C,YPL186C
YBL102W,YIL048W
YBR002C,YBR041W
YGR284C,YML031W
YIR037W,YPR156C
YDR264C,YMR292W
YCR021C,YLR138W
YKL068W,YMR047C
YBL051C,YCR093W
YLR332W,YMR296C
YER145C,YMR058W
YDR434W,YHR188C
YNL243W,YNR035C
YPR113W,YPR113W
YBR023C,YPL221W
YGL213C,YOR267C
YGR055W,YGR130C
YBR041W,YLR144C
YEL013W,YHR094C
YAL053W,YGR229C
YDR068W,YDR100W
YCR021C,YHL016C
YGL195W,YOR081C
YBR255CA,YKL037W
YBR177C,YLL012W
YML058WA,YML086C
YGL113W,YKL026C
YGR178C,YLR216C
YBR052C,YLL028W
YLR315W,YLR432W
YDL192W,YMR149W
YGL206C,YPR029C
YNL084C,YOR181W
YHR094C,YIR026C
YER021W,YGL205W
YJL127C,YOL110W
YHL011C,YOL061W
YPL116W,YPL116W
YBR106W,YML055W
YBR283C,YOR054C
YBR106W,YDL212W
YMR139W,YMR139W
YDR363WA,YMR120C
YOR153W,YPL058C
YHR007C,YHR123W
YIL033C,YPL203W
YBR009C,YLR449W
YDL123W,YGR020C
YLR056W,YLR056W
YBL020W,YPL117C
YJR010CA,YPL094C
YBR068C,YPL246C
YAR002CA,YDL192W
YDL208W,YHR089C
YGR103W,YHR052W
YPL004C,YPL221W
YKL013C,YML058WA
YBR106W,YHR007C
YGR138C,YIL105C
YCL055W,YNL288W
YJL178C,YOL129W
YGL023C,YGR163W
YBR154C,YGL207W
YMR299C,YNL183C
YDL123W,YGL023C
YIL043C,YLR350W
YDR264C,YKL004W
YDR092W,YER061C
YBR130C,YBR130C
YDL065C,YLR191W
YAR002CA,YMR015C
YCL037C,YDL055C
YBR052C,YKL051W
YDL215C,YLR027C
YAR002CA,YMR123W
YML056C,YOL005C
YDL222C,YOL105C
YDL021W,YML058WA
YDL208W,YKL172W
YBR106W,YFL062W
YDL222C,YLR454W
YMR229C,YOR206W
YIR026C,YPL058C
YKR080W,YKR080W
YEL013W,YML121W
YFR001W,YLR196W
YDR293C,YGL137W
YDL235C,YLR006C
YBR041W,YBR177C
YGL240W,YGR270W
YDL006W,YDR162C
YGL095C,YGL203C
YML016C,YMR149W
YER063W,YER063W
YDR032C,YIL070C
YLR350W,YMR272C
YDR293C,YOR204W
YBR207W,YDR284C
YDR264C,YHR135C
YMR192W,YNR065C
YPL112C,YPL112C
YGR055W,YLR332W
YIL033C,YKL062W
YGR119C,YGR119C
YIL121W,YIL121W
YDR100W,YOR069W
YAL026C,YOR104W
YGL178W,YNL288W
YIL135C,YML016C
YDR293C,YNL016W
YDR092W,YGR005C
YGR078C,YLR200W
YDL055C,YNL259C
YEL013W,YKR007W
YBR106W,YPL094C
YDL192W,YPL010W
YJL151C,YNL287W
YDL212W,YJL192C
YER023W,YNL259C
YHR045W,YPL170W
YCL037C,YDL160C
YHR089C,YOR206W
YDR434W,YLR088W
YDR484W,YER157W
YKL054C,YKL204W
YDR093W,YNL323W
YFL036W,YMR136W
YJR070C,YKL101W
YOR095C,YOR095C
YIL027C,YPL058C
YDL192W,YFL048C
YMR105C,YOR327C
YPL127C,YPR052C
YDR497C,YER145C
YCR021C,YKL051W
YHR123W,YNL130C
YHR114W,YMR109W
YDR032C,YGR281W
YBR255CA,YJR108W
YDL222C,YOL100W
YHR027C,YKL145W
YHR007C,YJL192C
YBL102W,YDR100W
YBR132C,YGL006W
YML012W,YMR149W
YLR350W,YML055W
YGL203C,YPL246C
YER112W,YGL178W
YDL212W,YLR350W
YJR076C,YLR027C
YGL077C,YIL070C
YGR183C,YML086C
YGL006W,YPL006W
YIL027C,YML012W
YGR138C,YPR156C
YKL172W,YOR206W
YCR030C,YER020W
YNL288W,YNR052C
YGL029W,YKL172W
YGL029W,YOR294W
YDL088C,YML031W
YIL027C,YJL148W
YGL056C,YLR332W
YHR089C,YLR449W
YHR007C,YLR350W
YLR332W,YML072C
YJL151C,YLR100W
YLR332W,YOR014W
YMR054W,YPR036W
YGL055W,YLR332W
YLL063C,YMR015C
YAR002CA,YML012W
YHL016C,YHR001W
YBR016W,YGL120C
YDL037C,YOL138C
YDR170C,YOR104W
YGR130C,YIL105C
YLR200W,YML094W
YDR264C,YER157W
YJL053W,YOR132W
YLR347C,YLR354C
YGL112C,YPL117C
YGL077C,YGR065C
YDR501W,YGR121C
YDR011W,YOR153W
YBR171W,YLR292C
YLR438CA,YNL118C
YBR102C,YDR166C
YGR055W,YOR153W
YIL085C,YMR128W
YMR221C,YOR316C
YBL102W,YBR207W
YCR043C,YMR149W
YML058WA,YOR089C
YGL077C,YGR281W
YLR068W,YMR293C
YBL059CA,YDR088C
YBL007C,YLR337C
YDL222C,YPR138C
YGL145W,YKL054C
YDL222C,YOR273C
YJL006C,YML112W
YER093C,YPR032W
YKR048C,YLR133W
YCR093W,YDL165W
YDR086C,YER116C
YGR138C,YPL265W
YDR381CA,YML086C
YDL160C,YNL147W
YLR370C,YML058WA
YDL222C,YER020W
YNL214W,YNL214W
YDL197C,YDR144C
YBR288C,YPL195W
YOL077C,YOR206W
YPR062W,YPR062W
YLR438CA,YPR072W
YGL006W,YGL006W
YDL222C,YIR037W
YGR055W,YIR026C
YCL056C,YPL006W
YKL139W,YLR045C
YDR350C,YNR075CA
YGR284C,YPR113W
YDL123W,YEL013W
YDL160C,YNL255C
YBR106W,YOR165W
YGL056C,YGL195W
YIL033C,YPR040W
YCR040W,YIL027C
YDR238C,YPL010W
YLR319C,YLR319C
YEL002C,YHR039C
YNL232W,YOR076C
YHR039C,YPR113W
YML067C,YPL246C
YCR093W,YNL197C
YGL056C,YOR153W
YAR002CA,YMR292W
YGR284C,YKL088W
YGL213C,YPR187W
YFR040W,YMR120C
YLL062C,YOR081C
YFL048C,YML012W
YCR028CA,YPL058C
YDL224C,YIL038C
YBR207W,YPR036W
YBL017C,YJL053W
YAL016W,YMR105C
YOR100C,YOR393W
YJL061W,YKL068W
YIL105C,YLR332W
YBR227C,YPL129W
YDR034WB,YDR264C
YMR070W,YPL127C
YFL021W,YNL229C
YJL178C,YMR221C
YBR106W,YOR054C
YGL203C,YNL238W
YDL208W,YNR038W
YDR346C,YDR479C
YCR093W,YDL160C
YGL141W,YOL069W
YDL160C,YHR121W
YHL016C,YPR138C
YHR025W,YLL001W
YIR034C,YNL255C
YIL124W,YJL151C
YML058WA,YMR120C
YER126C,YKL172W
YER068W,YNR052C
YFR008W,YOR276W
YER020W,YHL016C
YDR503C,YER113C
YJL154C,YJL154C
YFR051C,YGL203C
YBR106W,YJR118C
YCL016C,YDL008W
YLR337C,YOR181W
YGR060W,YPL227C
YGL137W,YGL203C
YBR106W,YJR117W
YBR052C,YDR497C
YDR434W,YHR007C
YHR123W,YPL246C
YHR007C,YPL145C
YDL189W,YDR419W
YFR010W,YGL133W
YJL153C,YJL153C
YBR207W,YIL047C
YBR214W,YLR079W
YLR213C,YLR260W
YML086C,YPL004C
YER031C,YER136W
YML012W,YPL186C
YDR068W,YPL246C
YIL034C,YNR035C
YDR039C,YPL058C
YBR200W,YKL051W
YGR132C,YPL263C
YAL021C,YOR057W
YHR089C,YNL186W
YDR119W,YJL178C
YDL043C,YDR072C
YGR284C,YGR284C
YBR241C,YGR060W
YER145C,YOR273C
YAR002CA,YOR016C
YGR281W,YPL221W
YGR119C,YJL041W
YGL055W,YIL027C
YCR028CA,YLR413W
YBR002C,YKL140W
YKL173W,YNL186W
YLL028W,YNL087W
YAR002CA,YDR297W
YGR060W,YLR056W
